price,bedrooms,bathrooms,sqft_living,sqft_lot,waterfront,sqft_basement,yr_built,city,country
313000.0,3.0,1.5,1340,7912,0,0,1955,Shoreline,USA
2384000.0,5.0,2.5,3650,9050,0,280,1921,Seattle,USA
342000.0,3.0,2.0,1930,11947,0,0,1966,Kent,USA
420000.0,3.0,2.25,2000,8030,0,1000,1963,Bellevue,USA
550000.0,4.0,2.5,1940,10500,0,800,1976,Redmond,USA
490000.0,2.0,1.0,880,6380,0,0,1938,Seattle,USA
335000.0,2.0,2.0,1350,2560,0,0,1976,Redmond,USA
482000.0,4.0,2.5,2710,35868,0,0,1989,Maple Valley,USA
452500.0,3.0,2.5,2430,88426,0,860,1985,North Bend,USA
640000.0,4.0,2.0,1520,6200,0,0,1945,Seattle,USA
463000.0,3.0,1.75,1710,7320,0,0,1948,Lake Forest Park,USA
1400000.0,4.0,2.5,2920,4000,0,1010,1909,Seattle,USA
588500.0,3.0,1.75,2330,14892,0,360,1980,Sammamish,USA
365000.0,3.0,1.0,1090,6435,0,0,1955,Seattle,USA
1200000.0,5.0,2.75,2910,9480,0,0,1939,Seattle,USA
242500.0,3.0,1.5,1200,9720,0,0,1965,Kent,USA
419000.0,3.0,1.5,1570,6700,0,0,1956,Bellevue,USA
367500.0,4.0,3.0,3110,7231,0,0,1997,Auburn,USA
257950.0,3.0,1.75,1370,5858,0,0,1987,Des Moines,USA
275000.0,3.0,1.5,1180,10277,0,0,1983,North Bend,USA
750000.0,3.0,1.75,2240,10578,0,690,1923,Seattle,USA
435000.0,4.0,1.0,1450,8800,0,0,1954,Bellevue,USA
626000.0,3.0,2.25,1750,1572,0,280,2005,Seattle,USA
612500.0,4.0,2.5,2730,12261,0,0,1991,Bothell,USA
495000.0,4.0,1.75,1600,6380,0,470,1959,Seattle,USA
285000.0,3.0,2.5,2090,10834,0,730,1987,Federal Way,USA
615000.0,3.0,1.75,2360,7291,0,1000,1948,Seattle,USA
698000.0,4.0,2.25,2200,11250,0,900,1920,Kirkland,USA
675000.0,5.0,2.5,2820,67518,0,0,1979,Issaquah,USA
790000.0,3.0,2.5,2600,4750,0,900,1951,Seattle,USA
382500.0,4.0,1.75,1560,8700,0,0,1967,Kirkland,USA
499950.0,4.0,2.5,2860,3345,0,670,2004,Woodinville,USA
650000.0,4.0,2.0,1820,5000,0,180,1945,Seattle,USA
625000.0,4.0,2.5,2820,8408,0,0,2014,Shoreline,USA
400000.0,4.0,2.5,3630,42884,0,1330,1979,Auburn,USA
604000.0,3.0,2.5,3240,33151,0,0,1995,Federal Way,USA
440000.0,2.0,1.0,800,4850,0,0,1944,Seattle,USA
287200.0,3.0,3.0,1850,19966,0,760,1992,Maple Valley,USA
403000.0,3.0,2.0,1960,13100,0,310,1957,Normandy Park,USA
750000.0,3.0,2.5,2390,6550,0,950,1955,Seattle,USA
335000.0,3.0,2.25,1580,16215,0,0,1978,Fall City,USA
260000.0,4.0,2.0,1480,8625,0,0,1974,Renton,USA
308500.0,2.0,1.0,850,6174,0,0,1950,Shoreline,USA
439950.0,3.0,2.5,1770,2875,0,0,1990,Seattle,USA
235000.0,2.0,1.0,1210,9400,0,0,1949,Seattle,USA
315000.0,3.0,1.0,1160,9180,0,0,1968,Woodinville,USA
437500.0,3.0,2.25,1970,35100,0,0,1977,Issaquah,USA
407500.0,3.0,2.5,1930,10460,0,0,1996,Renton,USA
445700.0,3.0,2.5,1270,1180,0,0,2001,Seattle,USA
838000.0,4.0,2.5,3310,42998,0,0,2001,Redmond,USA
630000.0,4.0,2.75,2710,37277,0,0,2000,Issaquah,USA
550000.0,3.0,1.75,2910,35200,0,0,1979,Sammamish,USA
805000.0,3.0,2.0,2710,4500,0,830,1929,Seattle,USA
284000.0,3.0,1.75,1800,23103,0,0,1968,Carnation,USA
470000.0,5.0,2.5,2210,9655,0,750,1976,Bothell,USA
430000.0,4.0,1.5,1920,10000,0,850,1954,Bellevue,USA
491500.0,4.0,1.75,2190,125452,0,0,1968,Auburn,USA
785000.0,5.0,3.25,3660,11995,0,0,2006,Snoqualmie,USA
385000.0,3.0,3.25,1320,1327,0,280,2008,Seattle,USA
295000.0,2.0,2.5,1630,1368,0,350,2009,Seattle,USA
555000.0,4.0,2.5,3310,6500,0,0,2012,Snoqualmie,USA
459990.0,3.0,2.5,2680,5539,0,0,2013,North Bend,USA
625000.0,4.0,3.25,2730,54014,0,1170,2007,Renton,USA
300000.0,3.0,2.5,2540,5050,0,0,2006,Kent,USA
625000.0,4.0,2.75,2920,6605,0,0,2012,Renton,USA
553000.0,2.0,1.0,900,5000,0,0,1944,Seattle,USA
379880.0,3.0,2.5,1650,14054,0,520,1986,Issaquah,USA
310000.0,3.0,1.0,1010,9945,0,0,1973,Snoqualmie,USA
775000.0,2.0,2.5,2680,7392,0,0,2004,Redmond,USA
365000.0,3.0,2.5,2200,7350,0,630,1988,Renton,USA
331950.0,4.0,2.5,2530,9933,0,520,1990,Auburn,USA
783500.0,3.0,2.5,2850,7130,0,860,1980,Seattle,USA
628000.0,4.0,2.0,2280,6010,0,1140,1900,Seattle,USA
560000.0,3.0,2.5,1900,8744,0,0,1987,Sammamish,USA
900000.0,3.0,1.0,1330,77972,0,0,1928,Kirkland,USA
531000.0,2.0,3.0,1270,1175,0,160,2000,Seattle,USA
831000.0,4.0,3.0,2170,4000,0,560,1982,Seattle,USA
780000.0,4.0,2.5,2730,10281,0,0,1996,Sammamish,USA
755000.0,4.0,2.5,2120,10202,0,500,1960,Bellevue,USA
705380.0,3.0,2.5,2490,4343,0,0,2003,Issaquah,USA
627000.0,4.0,2.25,1990,7712,0,780,1973,Issaquah,USA
865000.0,4.0,3.0,3690,9892,0,0,1998,Sammamish,USA
580000.0,2.0,1.0,2540,7000,0,1220,1942,Seattle,USA
410000.0,3.0,2.25,1800,36704,0,440,1978,Issaquah,USA
485000.0,4.0,3.0,2340,7048,0,1000,1979,Kirkland,USA
400000.0,2.0,1.75,2110,9519,0,0,1948,Shoreline,USA
549000.0,2.0,1.0,1140,5400,0,0,1908,Seattle,USA
620000.0,3.0,1.75,1480,2185,0,0,2005,Kirkland,USA
405000.0,2.0,3.0,1410,1240,0,270,2006,Seattle,USA
232000.0,2.0,1.0,1200,8063,0,0,1958,Des Moines,USA
800866.0,5.0,2.5,3180,13806,0,0,1990,Kirkland,USA
650000.0,3.0,1.5,2160,9000,0,760,1949,Seattle,USA
823000.0,6.0,1.75,2920,5000,0,140,1908,Seattle,USA
770000.0,3.0,2.0,2350,5700,0,540,1939,Seattle,USA
524000.0,3.0,1.75,1560,5520,0,780,1944,Seattle,USA
541125.0,5.0,2.75,2740,8426,0,1370,1960,Bellevue,USA
670000.0,3.0,2.5,1680,2000,0,0,1909,Seattle,USA
384900.0,5.0,2.5,3090,12750,0,1340,1968,Federal Way,USA
406100.0,3.0,2.25,1410,1332,0,0,2005,Seattle,USA
1395000.0,5.0,3.5,4010,8510,0,1160,1971,Seattle,USA
736500.0,4.0,2.5,3180,21904,0,0,2000,Renton,USA
570000.0,3.0,2.25,2010,6000,0,680,1975,Redmond,USA
787000.0,3.0,1.75,1330,7500,0,0,1961,Bellevue,USA
328000.0,4.0,2.5,2370,6500,0,0,1998,Auburn,USA
435000.0,5.0,2.0,1840,9240,0,300,1942,Seattle,USA
499000.0,4.0,2.5,2910,6479,0,0,2006,Snoqualmie,USA
501000.0,4.0,1.0,2070,7519,0,910,1963,Bellevue,USA
1090000.0,4.0,2.5,4340,141570,0,0,1992,Redmond,USA
400000.0,2.0,1.0,840,5510,0,0,1955,Seattle,USA
220000.0,4.0,1.5,1240,9600,0,0,1971,Federal Way,USA
657100.0,4.0,1.0,1390,4240,0,340,1924,Seattle,USA
309950.0,4.0,2.75,2310,5000,0,0,2006,Maple Valley,USA
300000.0,3.0,2.0,1050,10072,0,0,1986,Duvall,USA
525888.0,5.0,1.75,2550,71874,0,740,1960,Issaquah,USA
740000.0,4.0,1.75,2010,3600,0,0,1902,Seattle,USA
340000.0,5.0,1.0,1120,9022,0,0,1962,Kirkland,USA
398750.0,3.0,2.5,2230,4000,0,0,1954,Seattle,USA
206000.0,2.0,1.0,810,7158,0,0,1944,Burien,USA
1030000.0,5.0,2.75,3190,16920,0,1500,1976,Bellevue,USA
600000.0,3.0,1.75,1670,39639,0,0,1976,Sammamish,USA
379950.0,4.0,1.75,1970,9389,0,830,1960,Shoreline,USA
287000.0,3.0,1.0,1450,6000,0,0,1953,Seattle,USA
2280000.0,7.0,8.0,13540,307752,0,4130,1999,Redmond,USA
309950.0,3.0,2.5,1880,7838,0,0,1994,Renton,USA
600000.0,3.0,1.75,1880,6360,0,840,1945,Seattle,USA
418000.0,3.0,2.0,1410,6030,0,0,1930,Seattle,USA
449250.0,4.0,2.0,1480,3844,0,0,1928,Seattle,USA
329950.0,2.0,1.0,1140,5250,0,0,1949,Seattle,USA
245000.0,3.0,1.75,1920,9306,0,920,1984,Auburn,USA
549000.0,4.0,2.5,2910,6338,0,0,2008,Renton,USA
800000.0,3.0,2.5,3240,7857,0,0,1994,Sammamish,USA
249950.0,3.0,2.0,1550,15040,0,0,1958,Renton,USA
210000.0,5.0,2.0,2050,10200,0,620,1956,Des Moines,USA
1425000.0,2.0,2.5,2220,4000,0,0,2000,Seattle,USA
585000.0,2.0,1.0,1770,8640,0,250,1949,Seattle,USA
615000.0,4.0,1.75,2300,11700,0,340,1977,Redmond,USA
618500.0,3.0,2.0,1800,5000,0,720,1942,Seattle,USA
487585.0,4.0,1.75,2010,9211,0,540,1977,Kirkland,USA
509900.0,3.0,2.5,1790,2700,0,0,2010,Issaquah,USA
631625.0,4.0,2.5,2440,6651,0,0,2014,Seattle,USA
555000.0,3.0,2.5,1940,3211,0,0,2009,Issaquah,USA
340000.0,2.0,1.5,1160,1438,0,0,2001,Seattle,USA
830000.0,4.0,2.5,3400,9692,0,0,2007,Redmond,USA
890000.0,4.0,4.25,4420,5750,0,1010,2006,Issaquah,USA
366750.0,3.0,3.0,1571,2017,0,0,2008,Seattle,USA
415000.0,3.0,2.25,1620,998,0,80,2010,Issaquah,USA
416286.0,3.0,2.5,1408,989,0,0,2005,Seattle,USA
478000.0,3.0,2.5,3040,4535,0,0,2007,Renton,USA
890000.0,5.0,3.5,4490,6000,0,1290,2006,Issaquah,USA
419190.0,2.0,2.5,1590,1426,0,0,2014,Issaquah,USA
712198.0,4.0,2.5,2450,4247,0,0,2013,Redmond,USA
397000.0,4.0,2.0,1440,7680,0,240,1971,Kirkland,USA
450000.0,2.0,2.0,1100,3000,0,0,1912,Seattle,USA
353000.0,3.0,1.0,1350,7740,0,490,1947,Seattle,USA
609000.0,4.0,2.5,2150,37981,0,0,1985,Redmond,USA
234000.0,3.0,1.75,1490,8366,0,480,1975,Covington,USA
561000.0,3.0,2.0,2000,7000,0,0,1916,Seattle,USA
469000.0,2.0,1.0,1030,4400,0,0,1924,Seattle,USA
329350.0,2.0,1.0,720,6687,0,0,1942,Seattle,USA
488000.0,5.0,2.0,2020,5000,0,0,1938,Seattle,USA
279900.0,3.0,1.75,1580,8151,0,480,1962,Des Moines,USA
